GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,Comment,CircularType
GRB 260706A,,"SVOM, Fermi/GBM",33.8323,-49.1375,0.0528333333333333,45089.0,2026-07-06,16:12:20,45089.0,10.5,,45089.0,L?,"45089, 45088",8-120 keV,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 260705C,,Fermi/GBM,251.67,55.55,11.6,45082.0,2026-07-05,13:58:58.990000,45082.0,,,,S?,45082,,,,"Detection, Localization, Gamma-ray"
GRB 260705B,,Fermi/GBM,68.5,-30.8,3.0,45081.0,2026-07-05,22:46:36,45081.0,,,,L?,45081,,,,"Detection, Localization, Gamma-ray"
GRB 260705A,,"Fermi/GBM, SVOM, SVOM/ECLAIRs",58.2851,-31.6391,0.1176666666666666,45079.0,2026-07-05,13:06:28,45080.0,5.49,,45090.0,,"45080, 45079, 45090",8-120 keV,,,"Detection, Localization, Gamma-ray, Spectroscopy; Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260704A,,SVOM,318.5239,-25.6141,0.1708333333333333,45072.0,2026-07-04,03:40:24,45072.0,,,,,45072,5-20 keV,,,"Detection, Localization, Gamma-ray, X-ray"
GRB 260703B,,Fermi/GBM,310.5,47.9,5.1,45071.0,2026-07-03,02:25:05.660000,45071.0,,,,L?,45071,,,,"Detection, Localization, Gamma-ray"
GRB 260703A,,Fermi/GBM,350.51,63.36,6.72,45066.0,2026-07-03,02:14:47.190000,45066.0,,,,S?,45066,,,,"Detection, Localization, Gamma-ray"
GRB 260703,,Fermi/GBM,,,,45068.0,2026-07-03,03:37:09,45068.0,,,,,45068,,,,"Detection, Upper Limit, Observation"
GRB 260701A,,Fermi/GBM,294.2,-51.3,6.7,45060.0,2026-07-01,02:16:36,45060.0,,,,S?,45060,,,,"Detection, Localization, Gamma-ray"
GRB 260630,,Fermi/GBM,,,,45061.0,2026-06-30,00:00:19,45061.0,,,,,45061,,,,"Detection, Upper Limit, Observation"
GRB 260629A,,"Fermi/GBM, AstroSat/CZTI, SVOM/GRM",146.1,70.6,10.5,45056.0,2026-06-29,15:06:58,45056.0,1.2,1.55,45077.0,"S?, S","45056, 45074, 45077","20-200 keV, 15-5000 keV",,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260628A,,Fermi/GBM,308.2,-6.9,14.3,45053.0,2026-06-28,21:51:24,45053.0,,,,S?,45053,,,,"Detection, Localization, Gamma-ray"
GRB 260627A,,IPN,97.683,-11.018,,45091.0,2026-06-27,01:48:20,45091.0,,,,L,45091,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260624A,,Fermi/GBM,54.1,-21.0,4.4,45036.0,2026-06-24,15:54:14,45036.0,,,,L?,"45036, 45037",,,,"Detection, Localization, Gamma-ray; Localization, Gamma-ray"
GRB 260623B,EP260623a,"Konus-Wind, EP/WXT",328.2698,12.7938,0.0027777777777777,45035.0,2026-06-23,02:52:27,45035.0,103.0,,45035.0,L,"45046, 45022, 45020, 45024, 45035, 45027",20-300 keV,"0.703, <3",,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift; Detection, Optical, Redshift, Observation; Detection, Localization, X-ray, Observation; Detection, Localization, Optical, Redshift, Observation; Detection, Refined Localization, X-ray, Optical, Spectroscopy, Redshift, Observation"
GRB 260623A,,"Glowbug, Fermi/GBM",39.3,-10.4,11.8,45028.0,2026-06-23,12:56:46.520000,45064.0,4.1,,45064.0,L?,"45064, 45028",,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260619A,,"SVOM, SVOM/ECLAIRs",359.0538,-15.3917,0.1888333333333333,44985.0,2026-06-19,02:11:59,44985.0,40.0,,45041.0,,"44985, 45041",8-50 keV,,,"Detection, Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260618C,,SVOM/ECLAIRs,294.933,-65.71,0.1783333333333333,45017.0,2026-06-18,04:02:26.600000,45017.0,6.0,1.0,45017.0,,45017,4-20 keV,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation"
GRB 260618B,,"Fermi/GBM, Konus-Wind, Fermi/LAT",354.35,-44.88,0.1,44983.0,2026-06-18,16:55:04,44979.0,61.2,,45038.0,"L?, L","44979, 45038, 44983",,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray"
GRB 260618A,EP260618a,"EP/WXT, Fermi/GBM",276.676,23.849,0.0416666666666666,44978.0,2026-06-18,06:45:34,44973.0,140.0,,45044.0,L?,"44978, 44973, 45044",10-1000 keV,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260617A,,"Fermi/GBM, Glowbug, CALET, Konus-Wind, IPN",224.34,-12.61,7.08,44972.0,2026-06-17,21:36:42.640000,45033.0,0.26,,45033.0,"S, S?","44972, 45033, 44989, 44998, 44969, 44982, 44970","10-1000 keV, 40-1000 keV",,,"Detection, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing; Localization, Gamma-ray"
GRB 260616C,,"GECAM-B, MAXI/GSC",67.745,9.294,0.39,44961.0,2026-06-16,14:47:00,44961.0,29.5,4.5,44974.0,,"44974, 44961",,,,"Detection, Spectroscopy, Timing, Observation; Detection, Localization, X-ray, Observation"
GRB 260616B,EP260616a,"Insight-HXMT/HE, EP/WXT, Konus-Wind, CALET, SVOM/GRM, GRID, AstroSat/CZTI, Fermi/GBM",256.059,-32.305,0.0366666666666666,44956.0,2026-06-16,07:05:14.500000,45043.0,14.1,1.6,45043.0,L,"45023, 44956, 44968, 44966, 45011, 45043, 44997, 44953, 44951","40-1000 keV, 15-5000 keV, 20-200 keV, 10-1000 keV",,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Spectroscopy"
GRB 260616A,,"Fermi/GBM, Fermi/LAT, NuSTAR, AstroSat/CZTI, Konus-Wind, SVOM/GRM, Insight-HXMT/HE",93.53,-32.07,0.54,44960.0,2026-06-16,03:21:25.620000,44987.0,292.0,,44967.0,"L, L?","44949, 44960, 44987, 44996, 44967, 44995, 44948, 44980, 44971","20-200 keV, 15-5000 keV, 10-1000 keV",,,"Detection, Localization, Gamma-ray, Spectroscopy; Detection, Gamma-ray; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, X-ray, Timing"
GRB 260614B,,"Fermi/GBM, SVOM, NuSTAR, SVOM/ECLAIRs",353.94,-54.154,0.0458333333333333,44938.0,2026-06-14,13:49:47,44938.0,5.93,,44938.0,"L?, L","44937, 44942, 44938, 44986, 44947","10-1000 keV, 8-120 keV, 4-120 keV",,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260614A,,"Fermi/GBM, AstroSat/CZTI",192.76,-38.51,6.04,44935.0,2026-06-14,10:06:14.620000,44935.0,,,,"L?, L","44935, 44957",20-200 keV,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing"
GRB 260611B,,"CALET, Fermi/GBM, SVOM/GRM",13.3,22.6,2.2,44917.0,2026-06-11,21:32:32.020000,44923.0,24.7,0.9,44923.0,L?,"44923, 44917, 44936","40-1000 keV, 15-5000 keV",,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing"
GRB 260611A,,Fermi/GBM,126.4,-41.2,18.7,44907.0,2026-06-11,08:00:16,44907.0,,,,L?,44907,,,,"Detection, Localization, Gamma-ray"
GRB 260610B,,"SVOM/GRM, Fermi/GBM",218.66,23.94,2.77,44901.0,2026-06-10,23:46:14.100000,44944.0,65.0,8.0,44944.0,L?,"44944, 45004, 44931, 45062, 44914, 44901","15-5000 keV, 10-1000 keV","0.473, 0.474",,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift; Detection, Localization, Gamma-ray"
GRB 260610A,,Fermi/GBM,354.7,8.4,10.5,44891.0,2026-06-10,10:07:46,44891.0,,,,L?,"44892, 44891",,,,"Localization, Gamma-ray; Detection, Localization, Gamma-ray"
GRB 260609A,,Fermi/GBM,42.43,-7.99,8.05,44888.0,2026-06-09,20:05:42.610000,44888.0,,,,L?,44888,,,,"Detection, Localization, Gamma-ray"
GRB 260608C,,Fermi/GBM,245.4,47.8,9.6,44878.0,2026-06-08,23:54:23,44878.0,,,,L?,"44878, 44879",,,,"Detection, Localization, Gamma-ray; Localization, Gamma-ray"
GRB 260608B,,Fermi/GBM,56.98,64.15,3.78,44874.0,2026-06-08,12:41:28.680000,44874.0,,,,L?,44874,,,,"Detection, Localization, Gamma-ray"
GRB 260608A,,"Fermi/GBM, SVOM, SVOM/ECLAIRs",81.3711,-48.3879,0.0616666666666666,44870.0,2026-06-08,11:35:14,44870.0,57.4,3.8,44882.0,L?,"44868, 44870, 44869, 44882","8-120 keV, 4-120 keV",,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
