GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,z_CircularID,Comment,CircularType
GRB 260706A,,"SVOM/ECLAIRs, SVOM, Fermi/GBM, SVOM/GRM",33.8323,-49.1375,0.0528333333333333,45089.0,2026-07-06,16:12:20,45089.0,10.5,,45089.0,L?,"45103, 45089, 45088, 45101, 45093","4-120 keV, 8-120 keV, 15-5000 keV, 10-1000 keV",,,,"Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 260705A,,"Fermi/GBM, SVOM, SVOM/ECLAIRs",58.2851,-31.6391,0.1176666666666666,45079.0,2026-07-05,13:06:28,45079.0,40.96,,45079.0,,"45080, 45079, 45090",8-120 keV,0.178,45105,,"Detection, Localization, Gamma-ray, Spectroscopy; Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260704A,,"SVOM, SVOM/ECLAIRs",318.631,-25.532,0.0866666666666666,45129.0,2026-07-04,03:40:24,45072.0,40.96,,45072.0,,"45072, 45129","5-20 keV, 4-120 keV",,,,"Detection, Localization, Gamma-ray, X-ray; Detection, Localization, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Timing"
GRB 260619A,,"SVOM, SVOM/ECLAIRs",359.0538,-15.3917,0.1888333333333333,44985.0,2026-06-19,02:11:59,44985.0,40.96,,44985.0,,"44985, 45041",8-50 keV,,,,"Detection, Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260618C,,SVOM/ECLAIRs,294.933,-65.71,0.1783333333333333,45017.0,2026-06-18,04:02:26.600000,45017.0,6.0,1.0,45017.0,,45017,4-20 keV,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation"
GRB 260614B,,"Fermi/GBM, SVOM, GECAM-B, NuSTAR, SVOM/ECLAIRs",353.90883,-54.11628,0.0001388888888888,44945.0,2026-06-14,13:49:47,44938.0,5.93,,44938.0,"L?, L","44937, 44942, 44938, 44945, 44986, 44947","10-1000 keV, 8-120 keV, 4-120 keV",,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Gamma-ray, Timing; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260608A,,"Fermi/GBM, SVOM, SVOM/ECLAIRs",81.3711,-48.3879,0.0616666666666666,44870.0,2026-06-08,11:35:14,44870.0,81.92,,44870.0,L?,"44868, 44870, 44869, 44882","8-120 keV, 4-120 keV",,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, X-ray, Optical, Timing, Observation; Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260604C,,"Konus-Wind, Fermi/GBM, SVOM/ECLAIRs, SVOM, GECAM-B, AstroSat/CZTI",224.396,28.742,0.1433333333333333,44883.0,2026-06-04,20:18:44,44822.0,163.84,,44823.0,"L, L?","44887, 44831, 44822, 44883, 44823, 44854, 44885","10-1000 keV, 4-20 keV, 5-20 keV, 20-200 keV",,,,"Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Refined Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray, X-ray, Optical, Observation; Detection, Gamma-ray, Timing"
GRB 260603A,,"SVOM, SVOM/ECLAIRs",233.1366,40.0801,0.0903333333333333,44787.0,2026-06-03,05:37:55,44787.0,81.92,,44787.0,,"44787, 44848","5-20 keV, 4-120 keV",3.57,44797,,"Detection, Localization, Gamma-ray; Detection, Refined Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260530C,,SVOM/ECLAIRs,196.655,26.384,0.2133333333333333,44758.0,2026-05-30,00:13:15.620000,44758.0,20.48,,44758.0,,44758,4-120 keV,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Observation"
