GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,Comment,CircularType
GRB 260618A,EP260618a,EP/WXT,276.676,23.849,0.0416666666666666,44978.0,2026-06-18,08:34:46,44978.0,,,,,44978,,,,"Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Observation"
GRB 260616B,EP260616a,EP/WXT,256.059,-32.305,0.0366666666666666,44956.0,2026-06-16,07:05:16,44956.0,,,,,44956,,,,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Observation"
GRB 260610B,,,,,,45004.0,2026-06-10,,45004.0,62.0,,44931.0,,"45004, 44931, 45062, 44914",10-1000 keV,"0.474, 0.473",,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift"
GRB 260607A,,,,,,44876.0,2026-06-07,,44876.0,,,,,"44876, 44866",,"0.111, 0.126",,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 260603A,,,,,,44797.0,2026-06-03,,44797.0,,,,,44797,,3.57,,"Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 260601B,EP260601a,EP/WXT,257.649,-1.647,0.05,44766.0,2026-06-01,19:12:41,44766.0,,,,,"44769, 44916, 44766",,"4.0, 1.068",,"Detection, Optical, Redshift, Observation; Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 260527A,EP260527a,EP/WXT,193.057,1.473,0.0383333333333333,44718.0,2026-05-27,06:16:18,44718.0,200.0,,44718.0,S,"44736, 44740, 44728, 44718",,"0.8, 0.3656",,"Detection, Localization, Optical, Redshift, Host Galaxy, Observation; Detection, Localization, Optical, Radio, Timing, Redshift, Observation; Detection, Localization, Optical, Infrared, Spectroscopy, Redshift, Host Galaxy, Observation; Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 260516D,,,,,,44656.0,2026-05-16,,44656.0,,,,,44656,,1.801,,"Detection, Optical, Redshift, Observation"
GRB 260515A,,,227.6852,24.5562,0.0001388888888888,44624.0,2026-05-15,,44629.0,,,,,"44629, 44624, 44645, 44634, 44821",,"0.764, <4",,"Detection, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, Optical, Redshift; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Upper Limit, Observation"
GRB 260511B,,,,,,44573.0,2026-05-11,,44573.0,,,,L,"44573, 44568, 44565, 44571, 44577, 44593, 44576",,2.006,,"Detection, Optical, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, Optical, Redshift; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, X-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Infrared, Redshift, Observation"
GRB 260511A,,,,,,44538.0,2026-05-11,,44538.0,,,,,44538,,<4,,"Detection, Gamma-ray, Optical, Redshift, Observation"
GRB 260509A,,,176.89974,0.28822,0.0001388888888888,44507.0,2026-05-09,,44514.0,,,,,"44514, 44507",,"<1.95, <4",,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation; Detection, Localization, Gamma-ray, Optical, Redshift"
GRB 260421B,,,190.0018,-17.74055,,44387.0,2026-04-21,,44382.0,18.0,,44382.0,L,"44382, 44368, 44383, 44377, 44387",10-1000 keV,2.115,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, X-ray, Optical, Redshift, Observation"
GRB 260417A,EP260417a,EP/WXT,245.3232,-22.0249,0.0027777777777777,44337.0,2026-04-17,00:23:02,44337.0,,,,,"44337, 44325",,,,"Detection, Localization, Refined Localization, Gamma-ray, X-ray, Spectroscopy, Observation; Detection, Localization, X-ray, Spectroscopy, Observation"
GRB 260411B,,,,,,44274.0,2026-04-11,,44274.0,,,,,44274,,<3.5,,"Detection, Localization, Gamma-ray, Optical, Redshift, Host Galaxy, Observation"
GRB 260402A,EP260402a,EP/WXT,170.9607,63.6128,0.0027777777777777,44201.0,2026-04-02,10:29:33,44201.0,,,,,"44186, 44201",,,,"Detection, Localization, X-ray, Observation; Detection, Localization, Refined Localization, X-ray, Optical, Infrared, Spectroscopy, Observation"
GRB 260310A,,EP/WXT,,,,43977.0,2026-03-10,,43977.0,60.0,,43975.0,L,"43977, 44095, 44172, 44063, 43975, 44053, 43981, 44248, 44057, 43986, 44134","3-79 keV, 10-1000 keV","0.153, 0.11, >0.7",,"Detection, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Host Galaxy, Observation; Detection, Gamma-ray, X-ray, Optical, Timing, Observation; Detection, Localization, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, Gamma-ray, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Redshift, Observation; Gamma-ray, Spectroscopy, Redshift; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Localization, Radio, Redshift, Observation; Optical, Spectroscopy, Redshift, Host Galaxy, Observation"
GRB 260208A,,,,,,43694.0,2026-02-08,,43694.0,35.3,,43673.0,L,"43694, 43666, 43664, 43673, 43662, 43770, 43771",10-1000 keV,2.36,,"Detection, Gamma-ray, X-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Redshift, Upper Limit, Observation; Gamma-ray, Optical, Redshift, Observation"
GRB 260131A,,,,,,43604.0,2026-01-31,20:08:00,43604.0,,,,,"43604, 43595",,"1.435, <1.95",,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation; Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Upper Limit, Observation"
GRB 260127B,,,192.469711,66.74969,,43538.0,2026-01-27,,43538.0,,,,S,43538,,0.12,,"Detection, Localization, Gamma-ray, Optical, Redshift, Observation"
GRB 260114A,,,,,,43429.0,2026-01-14,,43429.0,,,,S,"43429, 43423, 43410",,"0.52, 0.524",,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Redshift, Observation; Detection, Localization, X-ray, Infrared, Redshift, Upper Limit, Observation; Detection, Gamma-ray, X-ray, Redshift, Host Galaxy, Observation"
GRB 260101A,,,,,,43287.0,2026-01-01,,43287.0,,,,,43287,,2.623,,"Detection, Gamma-ray, Optical, Spectroscopy, Redshift, Observation"
