GRB,EP,Instrument,RA_deg,Dec_deg,Error_deg,po_CircularID,TriggerDate,TriggerTime,time_CircularID,T90_s,T90_err_s,T90_CircularID,GRBType,CircularID,EnergyBand,redshift,z_CircularID,Comment,CircularType
GRB 260710A,,Fermi/GBM,5.6,-85.0,1.8,45131,2026-07-10,12:58:43,45131,,,,L?,45131,,,,,"Detection, Localization, Gamma-ray"
GRB 260709A,,Fermi/GBM,84.1,74.0,4.0,45121,2026-07-09,01:07:32,45121,,,,L?,45121,,,,,"Detection, Localization, Gamma-ray"
GRB 260708B,,MAXI/GSC,342.139,-3.776,0.22,45118,2026-07-08,16:43:12,45118,,,,,45118,,,,,"Detection, Localization, X-ray, Upper Limit"
GRB 260708A,,"Fermi/LAT, Fermi/GBM, GECAM-B, Glowbug",225.61,-44.07,0.27,45117,2026-07-08,10:11:15.952000,45130,12.3,,45130.0,L?,"45123, 45115, 45117, 45126, 45130, 45124",10-1000 keV,,,,"Detection, Gamma-ray, Optical, Spectroscopy; Detection, Localization, Gamma-ray; Detection, Gamma-ray; Detection, Gamma-ray, Timing, Observation; Detection, Gamma-ray, Optical, Timing; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation"
GRB 260707A,,Fermi/GBM,283.4,-54.7,13.3,45096,2026-07-07,03:25:09,45096,,,,S?,45096,,,,"likely due to Terrestrial Gamma-ray Flash (TGF), #45108","Detection, Localization, Gamma-ray"
GRB 260705C,,"Glowbug, AstroSat/CZTI, Fermi/GBM",251.67,55.55,11.6,45082,2026-07-05,13:58:57.840000,45104,0.26,,45104.0,"S, S?","45104, 45132, 45082",20-200 keV,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260705B,,"SVOM/GRM, Fermi/GBM",68.5,-30.8,3.0,45081,2026-07-05,22:46:36,45081,99.0,12.0,45116.0,L?,"45116, 45081",15-5000 keV,,,,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray"
GRB 260703B,,Fermi/GBM,310.5,47.9,5.1,45071,2026-07-03,02:25:05.660000,45071,,,,L?,45071,,,,,"Detection, Localization, Gamma-ray"
GRB 260703A,,Fermi/GBM,350.51,63.36,6.72,45066,2026-07-03,02:14:47.190000,45066,,,,S?,45066,,,,,"Detection, Localization, Gamma-ray"
GRB 260701A,,Fermi/GBM,294.2,-51.3,6.7,45060,2026-07-01,02:16:36,45060,,,,S?,45060,,,,,"Detection, Localization, Gamma-ray"
GRB 260629A,,"Fermi/GBM, GECAM-B, AstroSat/CZTI, SVOM/GRM",146.1,70.6,10.5,45056,2026-06-29,15:06:58,45056,3.2,1.13,45076.0,"S?, S","45056, 45076, 45074, 45077","20-200 keV, 15-5000 keV",,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260628A,,Fermi/GBM,308.2,-6.9,14.3,45053,2026-06-28,21:51:24,45053,,,,S?,45053,,,,,"Detection, Localization, Gamma-ray"
GRB 260627A,,IPN,97.683,-11.018,,45091,2026-06-27,01:48:20,45091,,,,L,45091,,,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing"
GRB 260624A,,Fermi/GBM,54.1,-21.0,4.4,45036,2026-06-24,15:54:14,45036,,,,L?,"45036, 45037",,,,,"Detection, Localization, Gamma-ray; Localization, Gamma-ray"
GRB 260623B,EP260623a,Konus-Wind,,,,45046,2026-06-23,02:54:05,45046,,,,L,45046,20-300 keV,"0.703, <3","45046, 45022, 45024, 45027",,"Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Redshift"
GRB 260623A,,"Glowbug, Fermi/GBM",39.3,-10.4,11.8,45028,2026-06-23,12:56:46.520000,45064,4.1,,45064.0,L?,"45064, 45028",,,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray"
GRB 260618B,,"Fermi/GBM, Konus-Wind, Fermi/LAT",354.35,-44.88,0.1,44983,2026-06-18,16:55:04,44979,61.2,,45038.0,"L?, L","44979, 45010, 45038, 44983",10-1000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Gamma-ray"
GRB 260618A,EP260618a,Fermi/GBM,281.5,21.1,6.3,44973,2026-06-18,06:45:34,44973,140.0,,45044.0,L?,"44973, 45044",10-1000 keV,,,,"Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation"
GRB 260617A,,"Fermi/GBM, Glowbug, CALET, Konus-Wind, IPN",224.34,-12.61,7.08,44972,2026-06-17,21:36:42.640000,45033,0.26,,45033.0,"S, S?","44972, 45033, 44989, 44998, 44969, 44982, 44970","10-1000 keV, 40-1000 keV",,,,"Detection, Gamma-ray, Spectroscopy, Timing; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Spectroscopy, Timing; Localization, Gamma-ray"
GRB 260616C,,"GECAM-B, MAXI/GSC",67.745,9.294,0.39,44961,2026-06-16,14:47:00,44961,29.5,4.5,44974.0,,"44974, 44961",,,,,"Detection, Spectroscopy, Timing, Observation; Detection, Localization, X-ray, Observation"
GRB 260616B,EP260616a,"Insight-HXMT/HE, Konus-Wind, CALET, SVOM/GRM, GRID, AstroSat/CZTI, Fermi/GBM",255.8,-32.1,1.5,44951,2026-06-16,07:05:14.500000,45043,14.1,1.6,45043.0,L,"45023, 44968, 44966, 45011, 45043, 44997, 44953, 44951","40-1000 keV, 15-5000 keV, 20-200 keV, 10-1000 keV",,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Spectroscopy, Timing, Upper Limit, Observation; Detection, Localization, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, X-ray, Optical, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing; Detection, Localization, Gamma-ray, Spectroscopy"
GRB 260616A,,"Fermi/GBM, GECAM-B, Fermi/LAT, NuSTAR, AstroSat/CZTI, Konus-Wind, SVOM/GRM, Insight-HXMT/HE",93.53,-32.07,0.54,44964,2026-06-16,03:21:25.620000,44987,292.0,,44967.0,"L, L?","44949, 44964, 44960, 44987, 44996, 44967, 44995, 44948, 44980, 44971","20-200 keV, 15-5000 keV, 10-1000 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy; Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray; Detection, Localization, Gamma-ray, Timing; Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Observation; Detection, Localization, Gamma-ray; Detection, Gamma-ray, X-ray, Timing"
GRB 260614A,,"Fermi/GBM, GECAM-B, AstroSat/CZTI",192.76,-38.51,6.04,44935,2026-06-14,10:06:14.620000,44935,20.0,6.0,44940.0,"L?, L","44935, 44940, 44957",20-200 keV,,,,"Detection, Localization, Gamma-ray; Detection, Gamma-ray, Timing, Observation; Detection, Gamma-ray, Timing"
GRB 260611B,,"CALET, Fermi/GBM, SVOM/GRM",13.3,22.6,2.2,44917,2026-06-11,21:32:32.020000,44923,24.7,0.9,44923.0,L?,"44923, 44917, 44936","40-1000 keV, 15-5000 keV",,,,"Detection, Gamma-ray, Timing; Detection, Localization, Gamma-ray; Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing"
GRB 260611A,,Fermi/GBM,126.4,-41.2,18.7,44907,2026-06-11,08:00:16,44907,,,,L?,44907,,,,,"Detection, Localization, Gamma-ray"
GRB 260610B,,"SVOM/GRM, Fermi/GBM",218.66,23.94,2.77,44901,2026-06-10,23:46:14.100000,44944,65.0,8.0,44944.0,L?,"44944, 44931, 44901","15-5000 keV, 10-1000 keV","0.473, 0.474, 0.1","44944, 45004, 44910, 44955, 44931, 45062, 44914",,"Detection, Localization, Gamma-ray, Optical, Spectroscopy, Timing, Redshift, Observation; Detection, Localization, Gamma-ray"
GRB 260610A,,Fermi/GBM,354.7,8.4,10.5,44891,2026-06-10,10:07:46,44891,,,,L?,"44892, 44891",,,,,"Localization, Gamma-ray; Detection, Localization, Gamma-ray"
GRB 260609A,,Fermi/GBM,42.43,-7.99,8.05,44888,2026-06-09,20:05:42.610000,44888,,,,L?,44888,,,,,"Detection, Localization, Gamma-ray"
GRB 260608C,,Fermi/GBM,245.4,47.8,9.6,44878,2026-06-08,23:54:23,44878,,,,L?,"44878, 44879",,,,,"Detection, Localization, Gamma-ray; Localization, Gamma-ray"
GRB 260608B,,Fermi/GBM,56.98,64.15,3.78,44874,2026-06-08,12:41:28.680000,44874,,,,L?,44874,,,,,"Detection, Localization, Gamma-ray"
GRB 260607B,,"Fermi/GBM, AstroSat/CZTI, Konus-Wind, Fermi/LAT, GECAM-B",54.68,30.45,0.4,44860,2026-06-07,13:19:28.353000,44881,47.0,,44861.0,"L, L?","44861, 44871, 44881, 44860, 44859, 44880","10-1000 keV, 20-200 keV",,,,"Detection, Localization, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray, Timing; Detection, Gamma-ray, Spectroscopy, Timing, Observation; Detection, Gamma-ray; Detection, Localization, Gamma-ray"
GRB 260607A,,Fermi/GBM,304.2,36.5,7.3,44855,2026-06-07,12:49:18,44855,,,,S?,"44855, 44856",,"0.111, 0.126","44876, 44866",,"Detection, Localization, Gamma-ray; Localization, Gamma-ray"
GRB 260605A,,"Insight-HXMT/HE, IPN",,,,44849,2026-06-05,01:04:27.850000,44849,11.0,2.5,44849.0,L,"44849, 45031",,,,,"Detection, Gamma-ray, X-ray, Timing; Detection, Localization, Gamma-ray, Timing"
